date,equity
2021-01-01,10000.0
2021-01-02,9816.641051626393
2021-01-03,9785.641875834614
2021-01-04,9768.216160012687
2021-01-05,10019.469328321697
2021-01-06,10066.367239025818
2021-01-07,10233.10664628964
2021-01-08,10234.560121831988
2021-01-09,10488.62225390764
2021-01-10,10371.219528830628
2021-01-11,10141.868325352238
2021-01-12,10100.079601031237
2021-01-13,10281.521804774888
2021-01-14,10002.352775214458
2021-01-15,9929.170605256977
2021-01-16,9771.357576207978
2021-01-17,9834.568418853074
2021-01-18,9721.157180161488
2021-01-19,9688.51267063342
2021-01-20,9640.535873176124
2021-01-21,9545.569456532898
2021-01-22,9719.129692312148
2021-01-23,9542.11668887841
2021-01-24,9493.636695356812
2021-01-25,9734.675184802114
2021-01-26,9605.169965405665
2021-01-27,9645.930984937087
2021-01-28,9682.51472623692
2021-01-29,9959.348038849492
2021-01-30,10016.161937483688
2021-01-31,10169.118870981416
2021-02-01,10101.222320296934
2021-02-02,10312.670014626634
2021-02-03,10374.479396443508
2021-02-04,10448.205450866535
2021-02-05,10745.750690517847
2021-02-06,10679.725859973041
2021-02-07,10479.227531524346
2021-02-08,10261.589422346926
2021-02-09,10284.143155462945
2021-02-10,10134.843377334266
2021-02-11,10167.055048644046
2021-02-12,10181.360374497563
2021-02-13,10174.438528264533
2021-02-14,10203.329937061832
2021-02-15,10219.509884425403
2021-02-16,10228.58743038671
2021-02-17,10298.68053311363
2021-02-18,10399.106332721569
2021-02-19,10450.551630279651
2021-02-20,10536.228784202338
2021-02-21,10571.713980873832
2021-02-22,10546.622776804257
2021-02-23,10516.955571649214
2021-02-24,10828.732171992908
2021-02-25,10750.659257932133
2021-02-26,10864.28752225484
2021-02-27,10876.903137514864
2021-02-28,10772.499308019005
2021-03-01,10706.042353461891
2021-03-02,10842.15825961719
2021-03-03,10992.631000914635
2021-03-04,11043.208956229786
2021-03-05,11113.671192702024
2021-03-06,11296.685416291328
2021-03-07,11345.671908532771
2021-03-08,11451.008047120506
2021-03-09,11520.50737966121
2021-03-10,11491.058694626177
2021-03-11,11713.827347812465
