date,return
2021-01-01,0.0016
2021-01-02,0.001513967023375214
2021-01-03,0.002465377816381344
2021-01-04,0.0012770535597103677
2021-01-05,-2.8894504124730037e-05
2021-01-06,2.7136181166649586e-05
2021-01-07,0.0006248880971280696
2021-01-08,0.000772196069218778
2021-01-09,0.0019084565561030792
2021-01-10,0.00037357664308456957
2021-01-11,0.0005753712233140863
2021-01-12,0.0012969483133657826
2021-01-13,0.0010389808281216686
2021-01-14,8.324607460815053e-05
2021-01-15,0.0001595410990323044
2021-01-16,0.0012277649336913349
2021-01-17,0.001090755102449003
2021-01-18,0.0008047455063311239
2021-01-19,0.001729300423886351
2021-01-20,0.0007839026281593121
2021-01-21,0.0016341737085584335
2021-01-22,0.000717942513673717
2021-01-23,0.0011166965201478134
2021-01-24,2.4179683371116246e-05
2021-01-25,0.0021635911213437877
2021-01-26,0.002209756436457223
2021-01-27,0.0015645530330734504
2021-01-28,0.0004916614517963612
2021-01-29,-0.0002073202930005523
2021-01-30,0.0003021884532483658
2021-01-31,-1.0035257874741886e-05
2021-02-01,0.0007696780409127015
2021-02-02,-0.00010123924286007963
2021-02-03,-0.000384263699464998
2021-02-04,-0.0005462257588953021
2021-02-05,0.00015025838288989076
2021-02-06,0.0009921430970904227
2021-02-07,0.0013984729007362375
2021-02-08,0.0015515258261921936
2021-02-09,0.0023656383919193565
2021-02-10,0.0009141845409017131
2021-02-11,0.0010479586328860243
2021-02-12,0.0013528131308748908
2021-02-13,0.001027041760832066
2021-02-14,0.0009151096879809216
2021-02-15,0.0010615040956643681
2021-02-16,0.002021928159808702
2021-02-17,0.0018499482869163515
2021-02-18,-8.291721940220675e-05
2021-02-19,0.0006611226478514061
2021-02-20,0.0009998865219553394
2021-02-21,0.0008802801007332542
2021-02-22,0.0008924638015149132
2021-02-23,0.0015225741667660817
2021-02-24,0.00138253664588537
2021-02-25,0.0018736625980645672
2021-02-26,0.0016762917739506396
2021-02-27,0.0015360929422449418
2021-02-28,0.002404893594910228
2021-03-01,0.0014545565405183337
2021-03-02,0.0020705140629508475
2021-03-03,0.0025273683002006455
2021-03-04,0.0012632182378292346
2021-03-05,0.00019991843792170074
2021-03-06,0.0009635576592700208
2021-03-07,0.001541590313823084
2021-03-08,0.001567135623052755
2021-03-09,0.002322160147501352
2021-03-10,0.0016842693496050634
2021-03-11,0.001888250528063858
2021-03-12,-3.112045650207956e-05
2021-03-13,0.000674343934825518
2021-03-14,3.593494603716706e-05
2021-03-15,-0.000428812897967605
2021-03-16,0.0001363479803578932
2021-03-17,0.0011915524359156307
2021-03-18,0.0015165667867501698
2021-03-19,0.0019867265866928626
2021-03-20,0.0004000655625544386
2021-03-21,0.001143984691473782
2021-03-22,0.0025220503805174505
2021-03-23,0.0018751791335503642
2021-03-24,0.0014068738721548547
2021-03-25,0.0005781565619457833
2021-03-26,-0.00023483187039193053
2021-03-27,1.2028474306528434e-05
2021-03-28,0.0010295914111849017
2021-03-29,0.0018977874278450157
2021-03-30,0.0020329994776402687
2021-03-31,0.0016785731800656545
2021-04-01,0.0011739211598485776
2021-04-02,0.0011051473592574136
2021-04-03,0.0004987663826158564
2021-04-04,0.0012873677733359244
2021-04-05,0.0014178289639560425
2021-04-06,0.0016730580386006564
2021-04-07,0.0013529193563425039
2021-04-08,0.001399256942414274
2021-04-09,0.0005858936532869608
2021-04-10,0.0007596608525613489
2021-04-11,0.0007396279671073754
2021-04-12,0.0017960599469195558
2021-04-13,0.0021706037818518993
2021-04-14,0.0015601640053323866
2021-04-15,0.0020032478261197096
2021-04-16,0.0027167975953679147
2021-04-17,0.004368913291297986
2021-04-18,0.003808497133397622
2021-04-19,0.0027123244107347603
2021-04-20,0.0012866708456920604
2021-04-21,0.0008751768895794818
2021-04-22,0.0021753013379515844
2021-04-23,0.0014151900065714471
2021-04-24,0.0021030990529320717
2021-04-25,0.0020881415868263735
2021-04-26,0.0005065995251039694
2021-04-27,0.000602534330520305
2021-04-28,0.0010742161943186187
2021-04-29,0.0016230748337224472
2021-04-30,0.0017241275202906367
2021-05-01,0.0007469341438365918
2021-05-02,0.0013384798482877639
2021-05-03,0.00198447522994919
2021-05-04,0.0011542239883543682
